Song:
	samples=5710950
	channels=2
	BPM=108.5497
	points=11155
Idx                 Time                Start Sample        End Sample          delta               rawBPM              BPM                 
11                  0.1277097           11264               12287               0                   0                   0                   
13                  0.1509297           13312               14335               0.02321996          2583.984            80.7495             
27                  0.3134694           27648               28671               0.1625397           369.1406            92.28516            
36                  0.4179592           36864               37887               0.1044898           574.2187            143.5547            
45                  0.522449            46080               47103               0.1044898           574.2189            143.5547            
56                  0.6501587           57344               58367               0.1277097           469.8154            117.4538            
58                  0.6733787           59392               60415               0.02322             2583.979            80.74934            
70                  0.8126984           71680               72703               0.1393197           430.6641            107.666             
78                  0.9055783           79872               80895               0.09287983          645.996             80.7495             
87                  1.010068            89088               90111               0.1044898           574.2187            143.5547            
97                  1.126168            99328               100351              0.1160997           516.7971            129.1993            
99                  1.149388            101376              102399              0.02321994          2583.986            80.74955            
108                 1.253878            110592              111615              0.1044898           574.2187            143.5547            
110                 1.277097            112640              113663              0.02321994          2583.986            80.74955            
120                 1.393197            122880              123903              0.1160998           516.7966            129.1992            
123                 1.428027            125952              126975              0.03482985          1722.66             107.6663            
132                 1.532517            135168              136191              0.1044898           574.2187            143.5547            
142                 1.648617            145408              146431              0.1160998           516.7966            129.1992            
153                 1.776327            156672              157695              0.1277097           469.8154            117.4538            
165                 1.915646            168960              169983              0.1393198           430.6639            107.666             
176                 2.043356            180224              181247              0.1277096           469.8158            117.4539            
186                 2.159456            190464              191487              0.1160998           516.7966            129.1992            
199                 2.310385            203776              204799              0.1509297           397.5361            99.38403            
208                 2.414875            212992              214015              0.1044898           574.2187            143.5547            
221                 2.565805            226304              227327              0.1509297           397.5361            99.38403            
229                 2.658685            234496              235519              0.09287977          645.9964            80.74955            
235                 2.728345            240640              241663              0.06965995          861.3271            107.6659            
248                 2.879274            253952              254975              0.1509297           397.5361            99.38403            
262                 3.041814            268288              269311              0.1625397           369.1405            92.28513            
272                 3.157914            278528              279551              0.1160998           516.7966            129.1992            
291                 3.378503            297984              299007              0.2205894           271.9986            135.9993            
295                 3.424943            302080              303103              0.04643989          1291.993            80.74955            
305                 3.541043            312320              313343              0.1160998           516.7966            129.1992            
316                 3.668753            323584              324607              0.1277099           469.8149            117.4537            
336                 3.900952            344064              345087              0.2321994           258.3986            129.1993            
350                 4.063492            358400              359423              0.16254             369.14              92.285              
355                 4.121542            363520              364543              0.05804968          1033.597            129.1997            
359                 4.167982            367616              368639              0.04643965          1292                80.74997            
380                 4.411791            389120              390143              0.2438097           246.0936            123.0468            
390                 4.527891            399360              400383              0.1160998           516.7966            129.1992            
404                 4.690431            413696              414719              0.1625395           369.1411            92.28527            
419                 4.864581            429056              430079              0.17415             344.5306            86.13265            
434                 5.03873             444416              445439              0.1741495           344.5316            86.13289            
437                 5.07356             447488              448511              0.03483009          1722.648            107.6655            
447                 5.18966             457728              458751              0.1160998           516.7966            129.1992            
457                 5.305759            467968              468991              0.1160994           516.7987            129.1997            
467                 5.421859            478208              479231              0.1160998           516.7966            129.1992            
478                 5.549569            489472              490495              0.1277099           469.8149            117.4537            
486                 5.642449            497664              498687              0.09287977          645.9964            80.74955            
490                 5.688889            501760              502783              0.04644012          1291.986            80.74914            
498                 5.781769            509952              510975              0.09287977          645.9964            80.74955            
508                 5.897869            520192              521215              0.1160998           516.7966            129.1992            
511                 5.932698            523264              524287              0.03482962          1722.672            107.667             
524                 6.083628            536576              537599              0.1509299           397.5355            99.38387            
531                 6.164898            543744              544767              0.08126974          738.2822            92.28527            
542                 6.292608            555008              556031              0.1277099           469.8149            117.4537            
560                 6.501587            573440              574463              0.2089796           287.1093            143.5547            
565                 6.559637            578560              579583              0.05804968          1033.597            129.1997            
583                 6.768617            596992              598015              0.2089796           287.1093            143.5547            
586                 6.803447            600064              601087              0.03483009          1722.648            107.6655            
596                 6.919547            610304              611327              0.1160998           516.7966            129.1992            
617                 7.163356            631808              632831              0.2438092           246.0941            123.047             
630                 7.314286            645120              646143              0.1509299           397.5355            99.38387            
632                 7.337506            647168              648191              0.02322006          2583.972            80.74914            
649                 7.534875            664576              665599              0.1973696           303.9982            151.9991            
663                 7.697415            678912              679935              0.1625395           369.1411            92.28527            
684                 7.941225            700416              701439              0.2438097           246.0936            123.0468            
692                 8.034104            708608              709631              0.09287977          645.9964            80.74955            
700                 8.126985            716800              717823              0.09288025          645.9931            80.74914            
704                 8.173424            720896              721919              0.04643917          1292.013            80.75079            
710                 8.243084            727040              728063              0.06966019          861.3242            107.6655            
714                 8.289524            731136              732159              0.04644012          1291.986            80.74914            
725                 8.417233            742400              743423              0.1277094           469.8167            117.4542            
735                 8.533334            752640              753663              0.1161003           516.7945            129.1986            
745                 8.649433            762880              763903              0.1160994           516.7987            129.1997            
758                 8.800363            776192              777215              0.1509295           397.5367            99.38418            
768                 8.916463            786432              787455              0.1161003           516.7945            129.1986            
778                 9.032562            796672              797695              0.1160994           516.7987            129.1997            
788                 9.148663            806912              807935              0.1161003           516.7945            129.1986            
801                 9.299592            820224              821247              0.1509295           397.5367            99.38418            
811                 9.415691            830464              831487              0.1160994           516.7987            129.1997            
823                 9.555012            842752              843775              0.1393204           430.6621            107.6655            
832                 9.659501            851968              852991              0.1044893           574.2213            143.5553            
844                 9.79882             864256              865279              0.1393194           430.665             107.6663            
865                 10.04263            885760              886783              0.2438097           246.0936            123.0468            
875                 10.15873            896000              897023              0.1161003           516.7945            129.1986            
894                 10.37932            915456              916479              0.2205896           271.9983            135.9991            
908                 10.54186            929792              930815              0.1625395           369.1411            92.28527            
918                 10.65796            940032              941055              0.1160994           516.7987            129.1997            
929                 10.78567            951296              952319              0.1277103           469.8132            117.4533            
939                 10.90177            961536              962559              0.1160994           516.7987            129.1997            
951                 11.04109            973824              974847              0.1393194           430.665             107.6663            
961                 11.15719            984064              985087              0.1161003           516.7945            129.1986            
970                 11.26168            993280              994303              0.1044893           574.2213            143.5553            
980                 11.37778            1003520             1004543             0.1161003           516.7945            129.1986            
982                 11.401              1005568             1006591             0.02322006          2583.972            80.74914            
994                 11.54032            1017856             1018879             0.1393194           430.665             107.6663            
1003                11.64481            1027072             1028095             0.1044893           574.2213            143.5553            
1013                11.76091            1037312             1038335             0.1161003           516.7945            129.1986            
1025                11.90023            1049600             1050623             0.1393194           430.665             107.6663            
1036                12.02794            1060864             1061887             0.1277103           469.8132            117.4533            
1038                12.05116            1062912             1063935             0.02321911          2584.079            80.75246            
1048                12.16726            1073152             1074175             0.1161003           516.7945            129.1986            
1066                12.37624            1091584             1092607             0.2089796           287.1093            143.5547            
1068                12.39946            1093632             1094655             0.02322006          2583.972            80.74914            
1082                12.562              1107968             1108991             0.1625395           369.1411            92.28527            
1091                12.66648            1117184             1118207             0.1044893           574.2213            143.5553            
1101                12.78259            1127424             1128447             0.1161003           516.7945            129.1986            
1109                12.87546            1135616             1136639             0.0928793           645.9998            80.74997            
1111                12.89868            1137664             1138687             0.02322006          2583.972            80.74914            
1122                13.02639            1148928             1149951             0.1277103           469.8132            117.4533            
1137                13.20054            1164288             1165311             0.1741495           344.5316            86.13289            
1146                13.30503            1173504             1174527             0.1044893           574.2213            143.5553            
1156                13.42113            1183744             1184767             0.1161003           516.7945            129.1986            
1168                13.56045            1196032             1197055             0.1393194           430.665             107.6663            
1180                13.69977            1208320             1209343             0.1393194           430.665             107.6663            
1188                13.79265            1216512             1217535             0.09288025          645.9931            80.74914            
1198                13.90875            1226752             1227775             0.1160994           516.7987            129.1997            
1208                14.02485            1236992             1238015             0.1161003           516.7945            129.1986            
1213                14.0829             1242112             1243135             0.05805016          1033.589            129.1986            
1225                14.22222            1254400             1255423             0.1393194           430.665             107.6663            
1230                14.28027            1259520             1260543             0.05805016          1033.589            129.1986            
1232                14.30349            1261568             1262591             0.02321911          2584.079            80.75246            
1245                14.45442            1274880             1275903             0.1509304           397.5342            99.38355            
1266                14.69823            1296384             1297407             0.2438097           246.0936            123.0468            
1276                14.81433            1306624             1307647             0.1160994           516.7987            129.1997            
1281                14.87238            1311744             1312767             0.05805016          1033.589            129.1986            
1382                16.04499            1415168             1416191             1.172607            51.16802            102.336             
1398                16.23075            1431552             1432575             0.1857605           322.9966            80.74914            
1420                16.48617            1454080             1455103             0.2554188           234.9083            117.4542            
1441                16.72998            1475584             1476607             0.2438087           246.0945            123.0473            
1464                16.99701            1499136             1500159             0.2670307           224.6933            112.3466            
1621                18.81977            1659904             1660927             1.822765            32.91702            131.6681            
1636                18.99392            1675264             1676287             0.1741505           344.5297            86.13242            
1680                19.50476            1720320             1721343             0.5108395           117.4537            117.4537            
1699                19.72535            1739776             1740799             0.2205887           271.9995            135.9997            
1708                19.82984            1748992             1750015             0.1044903           574.2161            143.554             
1718                19.94594            1759232             1760255             0.1161003           516.7945            129.1986            
1729                20.07365            1770496             1771519             0.1277084           469.8202            117.455             
1740                20.20136            1781760             1782783             0.1277103           469.8132            117.4533            
1744                20.2478             1785856             1786879             0.04644012          1291.986            80.74914            
1748                20.29424            1789952             1790975             0.04644012          1291.986            80.74914            
1752                20.34068            1794048             1795071             0.04644012          1291.986            80.74914            
1761                20.44517            1803264             1804287             0.1044884           574.2266            143.5566            
1765                20.49161            1807360             1808383             0.04644012          1291.986            80.74914            
1769                20.53805            1811456             1812479             0.04644012          1291.986            80.74914            
1773                20.58449            1815552             1816575             0.04644012          1291.986            80.74914            
1777                20.63093            1819648             1820671             0.04644012          1291.986            80.74914            
1786                20.73542            1828864             1829887             0.1044903           574.2161            143.554             
1790                20.78186            1832960             1833983             0.04644012          1291.986            80.74914            
1794                20.8283             1837056             1838079             0.04643822          1292.039            80.75246            
1798                20.87474            1841152             1842175             0.04644012          1291.986            80.74914            
1802                20.92118            1845248             1846271             0.04644012          1291.986            80.74914            
1963                22.79039            2010112             2011135             1.869207            32.09917            128.3967            
1969                22.86004            2016256             2017279             0.06965828          861.3477            107.6685            
1976                22.94131            2023424             2024447             0.08127022          738.2778            92.28473            
1990                23.10386            2037760             2038783             0.1625404           369.1389            92.28473            
1994                23.1503             2041856             2042879             0.04644012          1291.986            80.74914            
1999                23.20835            2046976             2047999             0.05805016          1033.589            129.1986            
2006                23.28961            2054144             2055167             0.08126831          738.2952            92.2869             
2009                23.32444            2057216             2058239             0.03483009          1722.648            107.6655            
2017                23.41732            2065408             2066431             0.09288025          645.9931            80.74914            
2035                23.6263             2083840             2084863             0.2089806           287.108             143.554             
2038                23.66113            2086912             2087935             0.03483009          1722.648            107.6655            
2057                23.88172            2106368             2107391             0.2205887           271.9995            135.9997            
2071                24.04426            2120704             2121727             0.1625404           369.1389            92.28473            
2096                24.33451            2146304             2147327             0.2902489           206.7191            103.3596            
2119                24.60154            2169856             2170879             0.2670288           224.6949            112.3474            
2140                24.84535            2191360             2192383             0.2438107           246.0926            123.0463            
2161                25.08916            2212864             2213887             0.2438087           246.0945            123.0473            
2312                26.84227            2367488             2368511             1.753107            34.22495            136.8998            
2331                27.06286            2386944             2387967             0.2205887           271.9995            135.9997            
2362                27.42277            2418688             2419711             0.3599091           166.7088            83.35439            
2376                27.58531            2433024             2434047             0.1625404           369.1389            92.28473            
2391                27.75946            2448384             2449407             0.1741505           344.5297            86.13242            
2398                27.84072            2455552             2456575             0.08126831          738.2952            92.2869             
2407                27.94522            2464768             2465791             0.1044903           574.2161            143.554             
2415                28.0381             2472960             2473983             0.09288025          645.9931            80.74914            
2423                28.13098            2481152             2482175             0.09288025          645.9931            80.74914            
2427                28.17742            2485248             2486271             0.04644012          1291.986            80.74914            
2436                28.2819             2494464             2495487             0.1044884           574.2266            143.5566            
2440                28.32834            2498560             2499583             0.04644012          1291.986            80.74914            
2444                28.37478            2502656             2503679             0.04644012          1291.986            80.74914            
2448                28.42122            2506752             2507775             0.04644012          1291.986            80.74914            
2457                28.52571            2515968             2516991             0.1044903           574.2161            143.554             
2461                28.57215            2520064             2521087             0.04644012          1291.986            80.74914            
2465                28.61859            2524160             2525183             0.04643822          1292.039            80.75246            
2469                28.66503            2528256             2529279             0.04644012          1291.986            80.74914            
2473                28.71147            2532352             2533375             0.04644012          1291.986            80.74914            
2482                28.81596            2541568             2542591             0.1044903           574.2161            143.554             
2486                28.8624             2545664             2546687             0.04644012          1291.986            80.74914            
2494                28.95528            2553856             2554879             0.09288025          645.9931            80.74914            
2588                30.04662            2650112             2651135             1.091337            54.97842            109.9568            
2595                30.12789            2657280             2658303             0.08127022          738.2778            92.28473            
2602                30.20916            2664448             2665471             0.08127022          738.2778            92.28473            
2609                30.29043            2671616             2672639             0.08126831          738.2952            92.2869             
2616                30.3717             2678784             2679807             0.08127022          738.2778            92.28473            
2623                30.45297            2685952             2686975             0.08127022          738.2778            92.28473            
2628                30.51102            2691072             2692095             0.05805016          1033.589            129.1986            
2635                30.59229            2698240             2699263             0.08127022          738.2778            92.28473            
2642                30.67356            2705408             2706431             0.08126831          738.2952            92.2869             
2649                30.75483            2712576             2713599             0.08127022          738.2778            92.28473            
